candidate_id,department,location,experience_level,source,application_date,interview_date,offer_date,joining_date,salary_offered,recruiter_id,status
1001,"Chief Technology Officer",Hollandfort,Senior,LinkedIn,2023-06-03,2023-06-09,2023-06-14,,,R2,"In Process"
1002,"Designer, furniture","Port Margaretfurt",Lead,Indeed,2023-05-15,2023-05-20,2023-05-24,,,R2,Rejected
1003,"Sound technician, broadcasting/film/video",Dianaland,Lead,Referral,2023-08-04,2023-08-11,2023-08-16,,,R3,Rejected
1004,"Air cabin crew",Youngfurt,Senior,Indeed,2023-07-28,2023-08-02,2023-08-11,,,R1,Rejected
1005,"Art therapist","East Ashleyborough",Entry,"Careers Page",2023-06-05,2023-06-12,2023-06-21,,,R3,"In Process"
1006,"Engineer, electronics",Boonefort,Lead,Referral,2023-07-26,2023-08-04,2023-08-09,,,R5,Rejected
1007,"Scientist, research (maths)","Port Barry",Senior,Referral,2023-06-09,2023-06-18,2023-06-21,,,R1,Rejected
1008,"Teacher, primary school","New Luisfort",Entry,Indeed,2023-07-15,2023-07-18,2023-07-23,,,R2,Rejected
1009,Phytotherapist,Amandashire,Lead,"Careers Page",2023-06-16,2023-06-25,2023-07-01,,,R2,"In Process"
1010,"Pilot, airline",Garrisonmouth,Mid,LinkedIn,2023-05-25,2023-06-01,2023-06-05,,,R4,Rejected
1011,"Theatre director",Haileyville,Lead,Indeed,2023-05-14,2023-05-18,2023-05-27,,,R4,Rejected
1012,"Corporate treasurer","East Melinda",Mid,Indeed,2023-06-04,2023-06-08,2023-06-15,,,R5,Rejected
1013,"Accounting technician",Hahnberg,Senior,LinkedIn,2023-07-23,2023-07-31,2023-08-08,,,R3,Rejected
1014,"Learning disability nurse",Christopherberg,Senior,LinkedIn,2023-06-12,2023-06-14,2023-06-18,,,R5,Rejected
1015,"Web designer",Leehaven,Junior,Agency,2023-07-04,2023-07-11,2023-07-15,,,R1,Rejected
1016,"Scientist, research (physical sciences)","North Ariel",Junior,"Careers Page",2023-07-26,2023-08-02,2023-08-06,,,R1,"In Process"
1017,"Higher education lecturer",Tonyville,Lead,Referral,2023-05-16,2023-05-19,2023-05-26,,,R2,Rejected
1018,"Merchandiser, retail","South Andrewport",Lead,Referral,2023-06-12,2023-06-20,2023-06-26,,,R5,Rejected
1019,"Buyer, retail","Lake Christianshire",Senior,LinkedIn,2023-06-26,2023-07-03,2023-07-08,,,R3,Rejected
1020,"Water quality scientist",Gibbsburgh,Mid,Agency,2023-05-23,2023-05-28,2023-06-05,,,R1,"In Process"
1021,"Optician, dispensing",Kathleenfurt,Lead,Indeed,2023-07-03,2023-07-09,2023-07-18,,,R2,Rejected
1022,"Scientist, marine","Port Andrewmouth",Lead,Indeed,2023-08-03,2023-08-08,2023-08-17,,,R5,Rejected
1023,"Armed forces technical officer","East Natalie",Senior,"Careers Page",2023-05-08,2023-05-13,2023-05-22,,,R5,Rejected
1024,"Scientist, research (physical sciences)",Farrellland,Senior,LinkedIn,2023-06-25,2023-06-28,2023-07-04,,,R5,"In Process"
1025,Herpetologist,"Port Daniel",Lead,Agency,2023-05-31,2023-06-02,2023-06-05,,,R5,"In Process"
1026,"Production assistant, radio","North Benjaminfurt",Senior,"Careers Page",2023-07-07,2023-07-13,2023-07-20,,,R4,Rejected
1027,"Publishing rights manager",Harveyport,Lead,Agency,2023-06-22,2023-07-01,2023-07-07,,,R1,"In Process"
1028,"Designer, television/film set","Port Christineborough",Lead,Agency,2023-08-01,2023-08-06,2023-08-11,,,R5,Rejected
1029,"Designer, jewellery",Camachostad,Senior,Agency,2023-06-15,2023-06-20,2023-06-28,,,R2,"In Process"
1030,"Media buyer","North Benjamin",Senior,Agency,2023-07-06,2023-07-08,2023-07-17,,,R3,Rejected
1031,"Designer, textile","South Johnburgh",Lead,Indeed,2023-07-27,2023-08-01,2023-08-04,,,R4,Rejected
